timestamp,client,domain,result_ip,total_time_ms
2025-10-28 11:49:21,10.0.0.3,tenant-internet.com,FAIL,21032.38
2025-10-28 11:49:42,10.0.0.3,gadanguides.com,93.188.2.51,985.95
2025-10-28 11:49:43,10.0.0.3,charityjob.co.uk,104.24.144.14,748.07
2025-10-28 11:49:44,10.0.0.3,sarahpartridge.net,FAIL,20988.02
2025-10-28 11:50:05,10.0.0.3,ecolems.com,51.103.54.68,825.20
2025-10-28 11:50:05,10.0.0.3,marilynlingerie.com,FAIL,21012.94
2025-10-28 11:50:26,10.0.0.3,anvilnetworksolutions.net,217.160.0.13,978.69
2025-10-28 11:50:27,10.0.0.3,cdmail.fr,5.196.212.149,968.28
2025-10-28 11:50:28,10.0.0.3,freeditorial.com,51.178.246.100,362.07
2025-10-28 11:50:29,10.0.0.3,ciber.com,103.247.209.15,365.89
2025-10-28 11:50:29,10.0.0.3,get-webby.com,FAIL,21039.98
2025-10-28 11:50:50,10.0.0.3,gadgetgearpro.com,FAIL,21097.60
2025-10-28 11:51:11,10.0.0.3,sonoma-marinfair.org,172.67.163.188,821.30
2025-10-28 11:51:12,10.0.0.3,ishidatic.com,15.197.172.60,614.73
2025-10-28 11:51:13,10.0.0.3,minecraftserverdeals.com,172.67.129.48,361.48
2025-10-28 11:51:13,10.0.0.3,romney.com,208.91.197.27,635.10
2025-10-28 11:51:14,10.0.0.3,bookingnest.com,76.223.54.146,497.17
2025-10-28 11:51:14,10.0.0.3,metar.gr,75.119.133.58,984.59
2025-10-28 11:51:15,10.0.0.3,bigliettieventi.info,FAIL,13711.23
2025-10-28 11:51:29,10.0.0.3,asseenontvlaunchpad.com,FAIL,21019.74
2025-10-28 11:51:50,10.0.0.3,ftf.com,23.227.38.65,715.49
2025-10-28 11:51:51,10.0.0.3,polymth.com,104.21.57.169,346.21
2025-10-28 11:51:51,10.0.0.3,crsgfk.de,FAIL,11489.93
2025-10-28 11:52:02,10.0.0.3,urbannetwork.co.uk,85.92.70.198,988.53
2025-10-28 11:52:03,10.0.0.3,synrc.com,104.21.40.117,356.78
2025-10-28 11:52:04,10.0.0.3,callcomm.info,FAIL,10824.46
2025-10-28 11:52:15,10.0.0.3,ceskykutil.cz,80.211.205.242,619.46
2025-10-28 11:52:15,10.0.0.3,ximangquantrieu.com,123.31.17.119,495.30
2025-10-28 11:52:16,10.0.0.3,shishioh.info,219.94.162.166,864.95
2025-10-28 11:52:17,10.0.0.3,vpndefender.com,54.224.56.57,343.00
2025-10-28 11:52:17,10.0.0.3,hutago.com,118.27.125.209,989.89
2025-10-28 11:52:18,10.0.0.3,tangkas888.com,104.21.7.113,365.88
2025-10-28 11:52:18,10.0.0.3,egov.sy,185.216.134.58,399.95
2025-10-28 11:52:19,10.0.0.3,abmcare.com,104.18.10.144,369.03
2025-10-28 11:52:19,10.0.0.3,iael.com,139.162.181.76,470.68
2025-10-28 11:52:19,10.0.0.3,sailor.pl,88.99.19.146,372.29
2025-10-28 11:52:20,10.0.0.3,skyhightmatter.info,FAIL,10862.65
2025-10-28 11:52:31,10.0.0.3,autopareri.com,147.93.94.216,411.27
2025-10-28 11:52:31,10.0.0.3,cia.it,3.248.13.228,522.70
2025-10-28 11:52:32,10.0.0.3,texasbeyondhistory.net,146.6.162.220,4315.70
2025-10-28 11:52:36,10.0.0.3,gardenofwords.com,192.0.78.24,364.98
2025-10-28 11:52:36,10.0.0.3,giuseppelivraghi.it,89.46.108.54,1517.31
2025-10-28 11:52:38,10.0.0.3,hdcric.com,159.69.42.212,471.20
2025-10-28 11:52:38,10.0.0.3,chekiang.info,FAIL,10870.16
2025-10-28 11:52:49,10.0.0.3,archiportale.com,104.18.12.154,369.31
2025-10-28 11:52:50,10.0.0.3,de.vu,81.28.232.69,1164.72
2025-10-28 11:52:51,10.0.0.3,teachmyass.info,103.224.182.212,1113.15
2025-10-28 11:52:52,10.0.0.3,nasaspaceflight.com,172.66.43.73,357.96
2025-10-28 11:52:52,10.0.0.3,consumerreviews24.com,FAIL,21041.04
2025-10-28 11:53:13,10.0.0.3,dilw.ie,35.214.43.230,695.28
2025-10-28 11:53:14,10.0.0.3,bbqinjector.com,FAIL,21101.81
2025-10-28 11:53:35,10.0.0.3,gxjbsj.com,172.247.103.2,575.01
2025-10-28 11:53:36,10.0.0.3,fmnara.com,49.247.215.98,1100.36
2025-10-28 11:53:37,10.0.0.3,pet-connect.ru,194.58.112.174,572.72
2025-10-28 11:53:37,10.0.0.3,synchchaos.com,203.161.61.102,597.00
2025-10-28 11:53:38,10.0.0.3,uca.edu,161.31.3.35,3708.68
2025-10-28 11:53:42,10.0.0.3,oaister.org,132.174.1.212,679.89
2025-10-28 11:53:42,10.0.0.3,chenghuavideo.asia,FAIL,13082.28
2025-10-28 11:53:56,10.0.0.3,video-peche-poisson.fr,FAIL,10764.17
2025-10-28 11:54:06,10.0.0.3,currencyrates.org,104.21.23.70,676.75
2025-10-28 11:54:07,10.0.0.3,zpav.pl,83.238.107.112,361.03
2025-10-28 11:54:07,10.0.0.3,tawali.com,173.249.147.46,520.12
2025-10-28 11:54:08,10.0.0.3,dock2office.com,FAIL,20995.64
2025-10-28 11:54:29,10.0.0.3,vlielandoutdoorcenter.nl,185.232.249.41,409.08
2025-10-28 11:54:29,10.0.0.3,gregginn.com,3.33.130.190,526.97
2025-10-28 11:54:30,10.0.0.3,arcoat.com,66.39.19.55,612.26
2025-10-28 11:54:30,10.0.0.3,cushinglawoffices.com,FAIL,21326.71
2025-10-28 11:54:52,10.0.0.3,eggcityradio.com,103.224.182.253,10113.60
2025-10-28 11:55:02,10.0.0.3,michaelbyers.org,198.185.159.144,1044.01
2025-10-28 11:55:03,10.0.0.3,stkpro.ru,205.251.138.125,722.35
2025-10-28 11:55:04,10.0.0.3,silveropt.ru,FAIL,11762.12
2025-10-28 11:55:15,10.0.0.3,topbarbee.com,159.203.135.249,621.04
2025-10-28 11:55:16,10.0.0.3,teleskill.it,185.81.4.109,757.11
2025-10-28 11:55:17,10.0.0.3,virtualjerusalem.com,69.48.168.47,572.64
2025-10-28 11:55:17,10.0.0.3,morban.co.uk,217.160.0.111,908.01
2025-10-28 11:55:18,10.0.0.3,mechachal.org,FAIL,10779.32
2025-10-28 11:55:29,10.0.0.3,noblewomanhood.com,74.208.236.114,557.78
2025-10-28 11:55:30,10.0.0.3,cosmeticaestheticsurgery.com,3.33.130.190,577.80
2025-10-28 11:55:30,10.0.0.3,note-so-easy.co.za,102.211.204.40,3194.72
2025-10-28 11:55:33,10.0.0.3,vietcapitaltour.com,FAIL,21113.44
2025-10-28 11:55:55,10.0.0.3,ncees.org,104.20.28.40,687.19
2025-10-28 11:55:55,10.0.0.3,laigang001.com,FAIL,20989.49
2025-10-28 11:56:16,10.0.0.3,verlockeshop.de,185.64.112.230,1060.47
2025-10-28 11:56:17,10.0.0.3,clickdownloadfiles.com,FAIL,20990.89
2025-10-28 11:56:38,10.0.0.3,e-hps.com,208.44.185.221,389.85
2025-10-28 11:56:39,10.0.0.3,drglendza.co.rs,FAIL,11347.59
2025-10-28 11:56:50,10.0.0.3,ghimpele.ro,89.35.160.167,769.18
2025-10-28 11:56:51,10.0.0.3,pahibu.net,FAIL,20985.63
2025-10-28 11:57:12,10.0.0.3,trackcheatingspouse.com,FAIL,21015.96
2025-10-28 11:57:33,10.0.0.3,dricom-hosting.nl,46.249.36.223,381.09
2025-10-28 11:57:33,10.0.0.3,medipacademy.com,104.21.4.41,370.15
2025-10-28 11:57:33,10.0.0.3,e-daily.gr,172.67.70.26,747.87
2025-10-28 11:57:34,10.0.0.3,cuteteenschoolgirlz.com,FAIL,20990.94
2025-10-28 11:57:55,10.0.0.3,hralda.info,FAIL,10872.26
2025-10-28 11:58:06,10.0.0.3,sendrakhizonline.com,20.244.2.144,492.20
2025-10-28 11:58:07,10.0.0.3,hayalforum.net,FAIL,21063.98
2025-10-28 11:58:28,10.0.0.3,begleyhutton.com,198.49.23.144,1280.16
2025-10-28 11:58:29,10.0.0.3,bmw-parts.ru,91.236.136.97,574.33
2025-10-28 11:58:30,10.0.0.3,rterc.in,93.127.173.226,625.45
2025-10-28 11:58:30,10.0.0.3,monitis.com,188.172.236.218,389.23
