timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 11:49:21,tenant-internet.com,iterative,198.41.0.4,ROOT,REFERRAL,168.09,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,152.92,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.48.79.30,TLD/AUTHORITATIVE,REFERRAL,156.27,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.54.112.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.31.80.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.33.14.30,TLD/AUTHORITATIVE,REFERRAL,271.84,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.35.51.30,TLD/AUTHORITATIVE,REFERRAL,168.32,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,170.247.170.2,ROOT,REFERRAL,271.09,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.5.6.30,TLD/AUTHORITATIVE,REFERRAL,45.20,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.26.92.30,TLD/AUTHORITATIVE,REFERRAL,177.71,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.12.94.30,TLD/AUTHORITATIVE,REFERRAL,176.12,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.33.4.12,ROOT,REFERRAL,112.09,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.55.83.30,TLD/AUTHORITATIVE,REFERRAL,177.20,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.52.178.30,TLD/AUTHORITATIVE,REFERRAL,152.71,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.43.172.30,TLD/AUTHORITATIVE,REFERRAL,169.60,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.42.93.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,199.7.91.13,ROOT,REFERRAL,43.62,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.203.230.10,ROOT,REFERRAL,51.13,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.112.36.4,ROOT,REFERRAL,152.69,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,198.97.190.53,ROOT,REFERRAL,290.28,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.36.148.17,ROOT,REFERRAL,38.52,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,193.0.14.129,ROOT,REFERRAL,56.24,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:21,tenant-internet.com,iterative,202.12.27.33,ROOT,REFERRAL,175.58,-,N/A
2025-10-28 11:49:42,gadanguides.com,iterative,198.41.0.4,ROOT,REFERRAL,168.56,-,N/A
2025-10-28 11:49:42,gadanguides.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,165.68,-,N/A
2025-10-28 11:49:42,gadanguides.com,iterative,93.188.0.20,TLD/AUTHORITATIVE,ANSWER,165.12,985.95,N/A
2025-10-28 11:49:43,charityjob.co.uk,iterative,198.41.0.4,ROOT,REFERRAL,150.98,-,N/A
2025-10-28 11:49:43,charityjob.co.uk,iterative,213.248.216.1,TLD/AUTHORITATIVE,REFERRAL,171.47,-,N/A
2025-10-28 11:49:43,charityjob.co.uk,iterative,172.64.33.133,TLD/AUTHORITATIVE,ANSWER,54.85,748.07,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,198.41.0.4,ROOT,REFERRAL,148.97,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.55.83.30,TLD/AUTHORITATIVE,REFERRAL,155.36,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.52.178.30,TLD/AUTHORITATIVE,REFERRAL,153.94,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.33.14.30,TLD/AUTHORITATIVE,REFERRAL,269.16,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.35.51.30,TLD/AUTHORITATIVE,REFERRAL,170.71,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.31.80.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 11:49:44,sarahpartridge.net,iterative,192.54.112.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
