timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 12:01:11,gustissimo.it,iterative,198.41.0.4,ROOT,REFERRAL,156.73,-,N/A
2025-10-28 12:01:11,gustissimo.it,iterative,194.0.16.215,TLD/AUTHORITATIVE,REFERRAL,186.40,-,N/A
2025-10-28 12:01:11,gustissimo.it,iterative,178.255.74.3,TLD/AUTHORITATIVE,ANSWER,172.85,516.48,N/A
2025-10-28 12:01:11,auto-klad.ru,iterative,198.41.0.4,ROOT,REFERRAL,153.54,-,N/A
2025-10-28 12:01:11,auto-klad.ru,iterative,193.232.128.6,TLD/AUTHORITATIVE,REFERRAL,220.13,-,N/A
2025-10-28 12:01:11,auto-klad.ru,iterative,194.63.142.195,TLD/AUTHORITATIVE,ANSWER,201.55,1172.54,N/A
2025-10-28 12:01:13,iointegrators.com,iterative,198.41.0.4,ROOT,REFERRAL,165.91,-,N/A
2025-10-28 12:01:13,iointegrators.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,152.52,-,N/A
2025-10-28 12:01:13,iointegrators.com,iterative,156.154.132.100,TLD/AUTHORITATIVE,ANSWER,57.38,376.30,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,198.41.0.4,ROOT,REFERRAL,157.38,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,167.94,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.48.79.30,TLD/AUTHORITATIVE,REFERRAL,156.83,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.54.112.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.31.80.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.33.14.30,TLD/AUTHORITATIVE,REFERRAL,274.39,-,N/A
2025-10-28 12:01:13,daytimeghosthunter.com,iterative,192.35.51.30,TLD/AUTHORITATIVE,REFERRAL,186.58,-,N/A
