timestamp,client,domain,result_ip,total_time_ms
2025-10-28 10:03:02,10.0.0.1,google.com,142.250.192.110,349.89
2025-10-28 10:03:17,10.0.0.254,0.ubuntu.pool.ntp.org,FAIL,13725.62
2025-10-28 10:03:30,10.0.0.254,0.ubuntu.pool.ntp.org,95.216.144.226,1597.79
2025-10-28 10:03:32,10.0.0.1,tuhafhaberler.com,FAIL,21033.50
2025-10-28 10:03:53,10.0.0.254,0.ubuntu.pool.ntp.org,FAIL,13740.40
2025-10-28 10:04:07,10.0.0.254,0.ubuntu.pool.ntp.org,95.216.144.226,1866.91
2025-10-28 10:04:09,10.0.0.1,rtsab.com,FAIL,21217.87
2025-10-28 10:04:30,10.0.0.254,3.ubuntu.pool.ntp.org,FAIL,13747.28
2025-10-28 10:04:44,10.0.0.254,3.ubuntu.pool.ntp.org,FAIL,13734.21
2025-10-28 10:04:57,10.0.0.1,i-butterfly.ru,104.21.88.172,837.73
2025-10-28 10:04:58,10.0.0.254,3.ubuntu.pool.ntp.org,162.159.200.123,1694.33
2025-10-28 10:05:00,10.0.0.254,3.ubuntu.pool.ntp.org,162.159.200.123,1639.85
2025-10-28 10:05:02,10.0.0.1,datepanchang.com,13.75.66.141,558.36
2025-10-28 10:05:02,10.0.0.1,localhost.re,104.21.50.127,737.18
2025-10-28 10:05:03,10.0.0.1,daehepharma.com,FAIL,21502.38
2025-10-28 10:05:24,10.0.0.1,ex-jw.org,185.230.63.107,3628.42
2025-10-28 10:05:28,10.0.0.1,us.tf,FAIL,16758.91
2025-10-28 10:05:45,10.0.0.1,informarexresistere.fr,178.32.143.165,982.75
2025-10-28 10:05:46,10.0.0.1,running-sigi.de,FAIL,11481.85
2025-10-28 10:05:57,10.0.0.1,buynowfromusa.com,35.223.118.1,442.46
2025-10-28 10:05:58,10.0.0.1,pbprofile.com,FAIL,23950.77
2025-10-28 10:06:22,10.0.0.1,fini.net,198.57.192.137,602.66
2025-10-28 10:06:22,10.0.0.1,globalpoliticalspectrum.com,FAIL,21056.41
2025-10-28 10:06:43,10.0.0.1,41latitude.com,FAIL,21196.87
2025-10-28 10:07:04,10.0.0.1,zzxu.cn,FAIL,15935.90
2025-10-28 10:07:20,10.0.0.1,energybulbs.co.uk,23.227.38.32,1002.38
2025-10-28 10:07:21,10.0.0.1,o-ov.com,FAIL,24339.12
2025-10-28 10:07:46,10.0.0.1,lozo.com,107.21.144.47,352.33
2025-10-28 10:07:46,10.0.0.1,tottenhamhk.com,FAIL,21075.97
2025-10-28 10:08:07,10.0.0.1,newstetic.com,172.67.131.89,348.12
2025-10-28 10:08:08,10.0.0.1,triggerfish.se,162.159.135.42,520.60
2025-10-28 10:08:08,10.0.0.1,reprosystems.ru,172.67.167.102,943.13
2025-10-28 10:08:09,10.0.0.1,interfloracentral.co.uk,217.69.32.44,994.56
2025-10-28 10:08:10,10.0.0.1,afairjudgement.com,172.67.178.132,354.11
2025-10-28 10:08:10,10.0.0.1,owlcreek.com,205.178.189.129,360.78
2025-10-28 10:08:11,10.0.0.1,radioterminal.ru,188.225.40.161,575.96
2025-10-28 10:08:11,10.0.0.1,junio.com,209.196.144.25,636.57
2025-10-28 10:08:12,10.0.0.1,ditrblog.com,FAIL,21098.57
2025-10-28 10:08:33,10.0.0.1,alchemedialtd.com,68.66.224.29,346.28
2025-10-28 10:08:33,10.0.0.1,portclydegeneralstore.com,198.185.159.144,496.40
2025-10-28 10:08:34,10.0.0.1,alenpuaca.com,67.205.28.253,614.07
2025-10-28 10:08:34,10.0.0.1,dj-producer-j-mbargo.com,FAIL,21103.39
2025-10-28 10:08:56,10.0.0.1,iag-inc.com,103.224.182.253,10155.68
2025-10-28 10:09:06,10.0.0.1,advertos.ru,45.92.176.75,1360.55
2025-10-28 10:09:07,10.0.0.1,kh.ua,195.69.185.211,421.50
2025-10-28 10:09:08,10.0.0.1,kennethehartman.com,192.0.78.25,392.64
2025-10-28 10:09:08,10.0.0.1,hemcolubricants.com,194.9.94.85,1010.26
2025-10-28 10:09:09,10.0.0.1,forpsi.net,85.255.6.237,496.67
2025-10-28 10:09:09,10.0.0.1,memeblender.com,104.21.7.158,396.94
2025-10-28 10:09:10,10.0.0.1,somode.com,FAIL,21151.60
2025-10-28 10:09:31,10.0.0.1,gamemob.com,3.33.130.190,491.90
2025-10-28 10:09:31,10.0.0.1,monsterhomesecuritystore.com,FAIL,21300.61
2025-10-28 10:09:53,10.0.0.1,door2games.com,160.153.0.43,877.21
2025-10-28 10:09:54,10.0.0.1,ondemandappliancerepair.com,74.208.236.102,617.81
2025-10-28 10:09:54,10.0.0.1,gensee.com,211.150.89.25,633.95
2025-10-28 10:09:55,10.0.0.1,caricsports.com,104.21.51.12,447.28
2025-10-28 10:09:55,10.0.0.1,auqzzx.com,FAIL,21248.38
2025-10-28 10:10:17,10.0.0.1,toaskfuture.com,119.18.54.195,365.80
2025-10-28 10:10:17,10.0.0.1,cetsi.fr,91.151.64.24,505.34
2025-10-28 10:10:17,10.0.0.1,probigbets.com,FAIL,21119.44
2025-10-28 10:10:39,10.0.0.1,bikesandtransit.com,192.0.78.25,351.24
2025-10-28 10:10:39,10.0.0.1,aqvr.com,89.117.19.57,611.66
2025-10-28 10:10:40,10.0.0.1,niceinternetmoney.ru,FAIL,11574.82
2025-10-28 10:10:51,10.0.0.1,chonvn.com,FAIL,21147.91
2025-10-28 10:11:12,10.0.0.1,eugenbotnar.com,FAIL,21328.91
2025-10-28 10:11:34,10.0.0.1,phi-pe.com,FAIL,21422.88
2025-10-28 10:11:55,10.0.0.1,chuamatsua.com,FAIL,24979.89
2025-10-28 10:12:20,10.0.0.1,pictures-thailand.com,66.96.149.1,574.91
2025-10-28 10:12:21,10.0.0.1,2brightsparks.co.uk,143.204.55.7,731.00
2025-10-28 10:12:21,10.0.0.1,astrumonline.ru,217.69.136.59,1086.65
2025-10-28 10:12:22,10.0.0.1,blueridgelife.com,192.124.249.6,492.42
2025-10-28 10:12:23,10.0.0.1,mwzip.com,104.21.20.205,382.38
2025-10-28 10:12:23,10.0.0.1,gusbi.com,185.145.195.19,478.89
2025-10-28 10:12:24,10.0.0.1,simternet.com,15.197.225.128,498.17
2025-10-28 10:12:24,10.0.0.1,khsm.ru,91.247.37.5,1036.73
2025-10-28 10:12:25,10.0.0.1,livelinks.com,108.158.61.13,360.97
2025-10-28 10:12:26,10.0.0.1,jantv.in,172.67.132.252,644.17
2025-10-28 10:12:26,10.0.0.1,hornil.com,183.111.138.226,501.56
2025-10-28 10:12:27,10.0.0.1,7dfps.com,172.67.161.32,380.26
2025-10-28 10:12:27,10.0.0.1,luckypuppygames.com,172.237.146.25,495.23
2025-10-28 10:12:28,10.0.0.1,b-matrix.com,137.135.108.176,488.05
2025-10-28 10:12:28,10.0.0.1,coutureauchocolat.com,FAIL,21121.73
2025-10-28 10:12:49,10.0.0.1,afresnohomeinspector.com,67.225.203.79,1144.72
2025-10-28 10:12:50,10.0.0.1,pieceinch.com,104.21.66.64,393.09
2025-10-28 10:12:51,10.0.0.1,australiatradenow.com,52.77.97.73,347.51
2025-10-28 10:12:51,10.0.0.1,diamondknot.com,198.185.159.144,495.82
2025-10-28 10:12:52,10.0.0.1,amorefieldlife.com,162.241.226.124,394.63
2025-10-28 10:12:52,10.0.0.1,sheltercoveinn.com,FAIL,22835.43
2025-10-28 10:13:15,10.0.0.1,wrestlingfanssuck.com,62.149.128.40,482.36
2025-10-28 10:13:15,10.0.0.1,sdccdonline.net,FAIL,27079.76
2025-10-28 10:13:43,10.0.0.1,autofirenze.biz,89.46.109.17,1367.29
2025-10-28 10:13:44,10.0.0.1,house-sg.com,208.98.40.34,1663.98
2025-10-28 10:13:46,10.0.0.1,camcard.com,184.169.209.203,348.76
2025-10-28 10:13:46,10.0.0.1,ppsuika.ac.id,203.175.8.54,962.17
2025-10-28 10:13:47,10.0.0.1,healthnews4you.com,3.33.130.190,474.87
2025-10-28 10:13:47,10.0.0.1,stunninggirls.net,34.95.33.229,338.51
2025-10-28 10:13:48,10.0.0.1,kathihill.com,159.65.187.116,442.35
2025-10-28 10:13:48,10.0.0.1,linksplash.info,FAIL,10842.03
2025-10-28 10:13:59,10.0.0.1,group14eng.com,192.124.249.164,493.63
2025-10-28 10:13:59,10.0.0.1,shqqaa.com,172.67.134.61,357.52
2025-10-28 10:14:00,10.0.0.1,mesites.co.za,41.204.200.130,1797.78
2025-10-28 10:14:02,10.0.0.1,progettogiovani.pd.it,185.213.115.40,510.35
2025-10-28 10:14:02,10.0.0.1,uahoy.net,FAIL,23965.93
2025-10-28 10:14:26,10.0.0.1,retiragroup.com,FAIL,21020.45
2025-10-28 10:14:47,10.0.0.1,effexdjs.com,FAIL,21102.07
2025-10-28 10:15:08,10.0.0.1,mysearch-online.com,FAIL,21089.82
2025-10-28 10:15:29,10.0.0.1,asadventure.com,143.204.55.60,367.30
2025-10-28 10:15:30,10.0.0.1,michiganbulb.com,208.27.142.168,375.40
2025-10-28 10:15:30,10.0.0.1,shivalikprints.com,162.215.11.92,398.66
