Domain,Status,Resolved_IPs,Latency (ms)
gustissimo.it,SUCCESS,178.255.74.135,566.27
auto-klad.ru,SUCCESS,62.122.170.171,1219.4
iointegrators.com,SUCCESS,76.120.251.25,423.42
daytimeghosthunter.com,FAIL,-,5000.0
sapendolo.it,FAIL,-,5000.0
saharaimport.com,FAIL,-,5000.0
ngoanhien.com,FAIL,-,5000.0
itgeorgia.co,FAIL,-,5000.0
myfantasticpark.es,FAIL,-,5000.0
vinayaprabha.com,FAIL,-,5000.0
sitiweb.us,FAIL,-,5000.0
contentremarketing.com,FAIL,-,5000.0
videofun.me,FAIL,-,5000.0
breezelaw.com,FAIL,-,5000.0
ranocchi.it,FAIL,-,5000.0
22hotmail.com,FAIL,-,5000.0
ana-sofia.pt,FAIL,-,5000.0
abhair.com,FAIL,-,5000.0
tripladoppia.com,FAIL,-,5000.0
gardeninginflorida.com,FAIL,-,5000.0
thepropertyvault.co.uk,FAIL,-,5000.0
viahttps.com,FAIL,-,5000.0
adverman.com,FAIL,-,5000.0
majorleaguelacrosse.com,FAIL,-,5000.0
rubenquinones.com,FAIL,-,5000.0
kanoon-ansar.org,FAIL,-,5000.0
arrabonet.hu,FAIL,-,5000.0
wordai.com,FAIL,-,5000.0
muhammedmusa.com,FAIL,-,5000.0
freepornvideosx.com,FAIL,-,5000.0
120shenbing.com,FAIL,-,5000.0
onetoshop.nl,FAIL,-,5000.0
meditekyazilim.net,FAIL,-,5000.0
theexoticpersian.com,FAIL,-,5000.0
boh10suphanburi.com,FAIL,-,5000.0
overseasmedical.com,FAIL,-,5000.0
grandcanyongrandhotel.com,FAIL,-,5000.0
boneshoppe.com,FAIL,-,5000.0
sweathelp.org,FAIL,-,5000.0
c0.pl,FAIL,-,5000.0
sipflash.com,FAIL,-,5000.0
koopsmodellbau.de,FAIL,-,5000.0
lespetiteschoses.com,FAIL,-,5000.0
b2b2c.ca,FAIL,-,5000.0
pilsnerurquell.com,FAIL,-,5000.0
medintime.ru,FAIL,-,5000.0
njafe.org,FAIL,-,5000.0
djbarryblends.com,FAIL,-,5000.0
deine-bahn.de,FAIL,-,5000.0
hackthissite.org,FAIL,-,5000.0
ereadz.com,FAIL,-,5000.0
gurukulonline.com,FAIL,-,5000.0
sf-notifications.com,FAIL,-,5000.0
capequilog.com,FAIL,-,5000.0
greens.my,FAIL,-,5000.0
2xfzy.com,FAIL,-,5000.0
magic-illusion.ru,FAIL,-,5000.0
irflashgame.com,FAIL,-,5000.0
solcredito.es,FAIL,-,5000.0
go2jump.com,FAIL,-,5000.0
millionfareast.com,FAIL,-,5000.0
msf.be,FAIL,-,5000.0
cellslider.net,FAIL,-,5000.0
bhhsneproperties.com,FAIL,-,5000.0
skplus.kr,FAIL,-,5000.0
empclan.com,FAIL,-,5000.0
carolgraykennedy.com,FAIL,-,5000.0
kiyimuzik.com,FAIL,-,5000.0
yunpda.com,FAIL,-,5000.0
valdo.com,FAIL,-,5000.0
supportpabiomass.org,FAIL,-,5000.0
roche-applied-science.com,FAIL,-,5000.0
oneworldinfo.com,FAIL,-,5000.0
7apcrshrmanila.org,FAIL,-,5000.0
ilikecrochet.com,FAIL,-,5000.0
closerdiets.com,FAIL,-,5000.0
myface.com,FAIL,-,5000.0
megi.cz,FAIL,-,5000.0
pces.in,FAIL,-,5000.0
originalmagicart.com,FAIL,-,5000.0
godo.co.kr,FAIL,-,5000.0
ugotrelis.com,FAIL,-,5000.0
alb-automobiles.com,FAIL,-,5000.0
ok-magazine.ru,FAIL,-,5000.0
wiltpr.com,FAIL,-,5000.0
dmg-dental.com,FAIL,-,5000.0
silkroadtours.com,FAIL,-,5000.0
rositehost.com,FAIL,-,5000.0
livescan4all.com,FAIL,-,5000.0
oberandsons.com,FAIL,-,5000.0
celerity.com,FAIL,-,5000.0
miscellaneousheathen.com,FAIL,-,5000.0
rolflouisville.com,FAIL,-,5000.0
jacquelinemertz.ch,FAIL,-,5000.0
gaplex.biz,FAIL,-,5000.0
frasesdemotivacao.net,FAIL,-,5000.0
divefishhouse.com,FAIL,-,5000.0
stark.dk,FAIL,-,5000.0
xxx-muschis.de,FAIL,-,5000.0
florenseusa.com,FAIL,-,5000.0
