timestamp,client,domain,result_ip,total_time_ms
2025-10-28 12:01:11,10.0.0.4,gustissimo.it,178.255.74.135,516.48
2025-10-28 12:01:11,10.0.0.4,auto-klad.ru,62.122.170.171,1172.54
2025-10-28 12:01:13,10.0.0.4,iointegrators.com,76.120.251.25,376.30
2025-10-28 12:01:13,10.0.0.4,daytimeghosthunter.com,FAIL,21064.73
2025-10-28 12:01:34,10.0.0.4,sapendolo.it,FAIL,197309.25
2025-10-28 12:04:51,10.0.0.4,saharaimport.com,176.9.116.24,507.89
2025-10-28 12:04:52,10.0.0.4,ngoanhien.com,FAIL,20996.67
2025-10-28 12:05:13,10.0.0.4,itgeorgia.co,64.98.135.85,1347.11
2025-10-28 12:05:14,10.0.0.4,myfantasticpark.es,89.31.143.90,1070.26
2025-10-28 12:05:15,10.0.0.4,vinayaprabha.com,185.230.63.107,3797.27
2025-10-28 12:05:19,10.0.0.4,sitiweb.us,136.243.45.246,1126.60
2025-10-28 12:05:20,10.0.0.4,contentremarketing.com,216.10.240.70,599.88
2025-10-28 12:05:21,10.0.0.4,videofun.me,FAIL,12630.22
2025-10-28 12:05:33,10.0.0.4,breezelaw.com,76.223.54.146,489.15
2025-10-28 12:05:34,10.0.0.4,ranocchi.it,52.18.99.110,512.91
2025-10-28 12:05:34,10.0.0.4,22hotmail.com,20.76.201.171,347.05
2025-10-28 12:05:35,10.0.0.4,ana-sofia.pt,185.32.190.38,1083.24
2025-10-28 12:05:36,10.0.0.4,abhair.com,23.227.38.32,1201.90
2025-10-28 12:05:37,10.0.0.4,tripladoppia.com,FAIL,20994.13
2025-10-28 12:05:58,10.0.0.4,gardeninginflorida.com,76.223.67.189,488.56
2025-10-28 12:05:59,10.0.0.4,thepropertyvault.co.uk,76.223.67.189,1009.04
2025-10-28 12:06:00,10.0.0.4,viahttps.com,64.251.0.59,623.88
2025-10-28 12:06:00,10.0.0.4,adverman.com,77.87.198.232,498.79
2025-10-28 12:06:01,10.0.0.4,majorleaguelacrosse.com,172.67.170.123,373.65
2025-10-28 12:06:01,10.0.0.4,rubenquinones.com,15.197.225.128,484.68
2025-10-28 12:06:02,10.0.0.4,kanoon-ansar.org,194.59.214.75,681.71
2025-10-28 12:06:02,10.0.0.4,arrabonet.hu,213.163.44.68,379.03
2025-10-28 12:06:03,10.0.0.4,wordai.com,23.111.159.202,728.36
2025-10-28 12:06:03,10.0.0.4,muhammedmusa.com,FAIL,20988.87
2025-10-28 12:06:24,10.0.0.4,freepornvideosx.com,FAIL,21017.75
2025-10-28 12:06:45,10.0.0.4,120shenbing.com,FAIL,21029.68
2025-10-28 12:07:06,10.0.0.4,onetoshop.nl,35.204.76.89,639.04
2025-10-28 12:07:07,10.0.0.4,meditekyazilim.net,185.95.3.218,500.89
2025-10-28 12:07:08,10.0.0.4,theexoticpersian.com,FAIL,21103.45
2025-10-28 12:07:29,10.0.0.4,boh10suphanburi.com,FAIL,21042.92
2025-10-28 12:07:50,10.0.0.4,overseasmedical.com,213.123.239.55,496.65
2025-10-28 12:07:50,10.0.0.4,grandcanyongrandhotel.com,142.44.217.176,347.01
2025-10-28 12:07:50,10.0.0.4,boneshoppe.com,FAIL,21031.18
2025-10-28 12:08:12,10.0.0.4,sweathelp.org,107.180.114.231,909.46
2025-10-28 12:08:12,10.0.0.4,c0.pl,95.211.144.68,368.31
2025-10-28 12:08:13,10.0.0.4,sipflash.com,FAIL,24794.79
2025-10-28 12:08:38,10.0.0.4,koopsmodellbau.de,217.160.0.247,1000.64
2025-10-28 12:08:39,10.0.0.4,lespetiteschoses.com,23.227.38.65,353.20
