timestamp,domain,resolution_mode,dns_server_ip,step,response_type,rtt_ms,total_time_ms,cache_status
2025-10-28 10:03:02,google.com,iterative,198.41.0.4,ROOT,REFERRAL,165.02,-,N/A
2025-10-28 10:03:02,google.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,152.36,-,N/A
2025-10-28 10:03:02,google.com,iterative,216.239.34.10,TLD/AUTHORITATIVE,ANSWER,31.91,349.89,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,198.41.0.4,ROOT,REFERRAL,151.53,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.249.112.1,TLD/AUTHORITATIVE,REFERRAL,87.96,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,66.220.13.229,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.249.120.1,TLD/AUTHORITATIVE,REFERRAL,86.97,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.19.57.1,TLD/AUTHORITATIVE,REFERRAL,44.20,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.19.56.1,TLD/AUTHORITATIVE,REFERRAL,45.91,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.19.54.1,TLD/AUTHORITATIVE,REFERRAL,45.80,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.19.53.1,TLD/AUTHORITATIVE,REFERRAL,59.78,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,170.247.170.2,ROOT,REFERRAL,267.94,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.33.4.12,ROOT,REFERRAL,87.39,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.7.91.13,ROOT,REFERRAL,43.17,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.203.230.10,ROOT,REFERRAL,49.79,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.112.36.4,ROOT,REFERRAL,151.48,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,198.97.190.53,ROOT,REFERRAL,307.99,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.36.148.17,ROOT,REFERRAL,34.05,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,193.0.14.129,ROOT,REFERRAL,73.43,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:17,0.ubuntu.pool.ntp.org,iterative,202.12.27.33,ROOT,REFERRAL,170.15,-,N/A
2025-10-28 10:03:30,0.ubuntu.pool.ntp.org,iterative,198.41.0.4,ROOT,REFERRAL,158.45,-,N/A
2025-10-28 10:03:30,0.ubuntu.pool.ntp.org,iterative,199.249.112.1,TLD/AUTHORITATIVE,REFERRAL,86.66,-,N/A
2025-10-28 10:03:30,0.ubuntu.pool.ntp.org,iterative,66.220.13.229,TLD/AUTHORITATIVE,REFERRAL,285.53,-,N/A
2025-10-28 10:03:30,0.ubuntu.pool.ntp.org,iterative,45.127.113.23,TLD/AUTHORITATIVE,ANSWER,94.08,1597.79,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,198.41.0.4,ROOT,REFERRAL,154.35,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,152.94,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.48.79.30,TLD/AUTHORITATIVE,REFERRAL,154.29,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.54.112.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.31.80.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.33.14.30,TLD/AUTHORITATIVE,REFERRAL,271.95,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.35.51.30,TLD/AUTHORITATIVE,REFERRAL,169.45,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,170.247.170.2,ROOT,REFERRAL,270.27,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.5.6.30,TLD/AUTHORITATIVE,REFERRAL,108.16,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.26.92.30,TLD/AUTHORITATIVE,REFERRAL,175.76,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.12.94.30,TLD/AUTHORITATIVE,REFERRAL,175.01,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.42.93.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.33.4.12,ROOT,REFERRAL,94.28,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.55.83.30,TLD/AUTHORITATIVE,REFERRAL,154.58,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.52.178.30,TLD/AUTHORITATIVE,REFERRAL,150.70,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.43.172.30,TLD/AUTHORITATIVE,REFERRAL,173.44,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,199.7.91.13,ROOT,REFERRAL,40.98,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.203.230.10,ROOT,REFERRAL,47.40,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.112.36.4,ROOT,REFERRAL,150.42,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,198.97.190.53,ROOT,REFERRAL,290.46,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.36.148.17,ROOT,REFERRAL,33.02,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,193.0.14.129,ROOT,REFERRAL,73.94,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:32,tuhafhaberler.com,iterative,202.12.27.33,ROOT,REFERRAL,170.43,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,198.41.0.4,ROOT,REFERRAL,152.77,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.249.112.1,TLD/AUTHORITATIVE,REFERRAL,91.22,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,66.220.13.229,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.249.120.1,TLD/AUTHORITATIVE,REFERRAL,100.97,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.19.57.1,TLD/AUTHORITATIVE,REFERRAL,42.93,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.19.56.1,TLD/AUTHORITATIVE,REFERRAL,43.06,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.19.54.1,TLD/AUTHORITATIVE,REFERRAL,50.96,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.19.53.1,TLD/AUTHORITATIVE,REFERRAL,59.64,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,170.247.170.2,ROOT,REFERRAL,267.16,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.33.4.12,ROOT,REFERRAL,85.03,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.7.91.13,ROOT,REFERRAL,42.96,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.203.230.10,ROOT,REFERRAL,46.07,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.112.36.4,ROOT,REFERRAL,168.43,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,198.97.190.53,ROOT,REFERRAL,293.59,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.36.148.17,ROOT,REFERRAL,41.87,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,193.0.14.129,ROOT,REFERRAL,65.21,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:03:53,0.ubuntu.pool.ntp.org,iterative,202.12.27.33,ROOT,REFERRAL,171.84,-,N/A
2025-10-28 10:04:07,0.ubuntu.pool.ntp.org,iterative,198.41.0.4,ROOT,REFERRAL,174.94,-,N/A
2025-10-28 10:04:07,0.ubuntu.pool.ntp.org,iterative,199.249.112.1,TLD/AUTHORITATIVE,REFERRAL,87.55,-,N/A
2025-10-28 10:04:07,0.ubuntu.pool.ntp.org,iterative,66.220.13.229,TLD/AUTHORITATIVE,REFERRAL,301.05,-,N/A
2025-10-28 10:04:07,0.ubuntu.pool.ntp.org,iterative,86.109.15.15,TLD/AUTHORITATIVE,ANSWER,89.93,1866.91,N/A
2025-10-28 10:04:09,rtsab.com,iterative,198.41.0.4,ROOT,REFERRAL,153.07,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.41.162.30,TLD/AUTHORITATIVE,REFERRAL,170.52,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,193.14.90.50,TLD/AUTHORITATIVE,REFERRAL,197.95,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.48.79.30,TLD/AUTHORITATIVE,REFERRAL,155.13,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.54.112.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.31.80.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.33.14.30,TLD/AUTHORITATIVE,REFERRAL,272.80,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.35.51.30,TLD/AUTHORITATIVE,REFERRAL,170.60,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,170.247.170.2,ROOT,REFERRAL,267.26,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.5.6.30,TLD/AUTHORITATIVE,REFERRAL,94.44,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.26.92.30,TLD/AUTHORITATIVE,REFERRAL,176.75,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.12.94.30,TLD/AUTHORITATIVE,REFERRAL,173.40,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.42.93.30,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.33.4.12,ROOT,REFERRAL,104.36,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.55.83.30,TLD/AUTHORITATIVE,REFERRAL,150.28,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.52.178.30,TLD/AUTHORITATIVE,REFERRAL,150.23,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.43.172.30,TLD/AUTHORITATIVE,REFERRAL,167.88,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,199.7.91.13,ROOT,REFERRAL,42.53,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.203.230.10,ROOT,REFERRAL,45.33,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.112.36.4,ROOT,REFERRAL,150.96,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,198.97.190.53,ROOT,REFERRAL,288.95,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.36.148.17,ROOT,REFERRAL,33.65,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,193.0.14.129,ROOT,REFERRAL,58.35,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,199.7.83.42,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:09,rtsab.com,iterative,202.12.27.33,ROOT,REFERRAL,170.18,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,198.41.0.4,ROOT,REFERRAL,169.87,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.249.112.1,TLD/AUTHORITATIVE,REFERRAL,85.76,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,66.220.13.229,TLD/AUTHORITATIVE,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.249.120.1,TLD/AUTHORITATIVE,REFERRAL,106.50,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.19.57.1,TLD/AUTHORITATIVE,REFERRAL,43.74,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.19.56.1,TLD/AUTHORITATIVE,REFERRAL,49.18,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.19.54.1,TLD/AUTHORITATIVE,REFERRAL,45.04,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.19.53.1,TLD/AUTHORITATIVE,REFERRAL,54.76,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,170.247.170.2,ROOT,REFERRAL,269.82,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.33.4.12,ROOT,REFERRAL,99.88,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,199.7.91.13,ROOT,REFERRAL,41.44,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.203.230.10,ROOT,REFERRAL,50.94,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.5.5.241,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.112.36.4,ROOT,REFERRAL,163.15,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,198.97.190.53,ROOT,REFERRAL,292.63,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.36.148.17,ROOT,REFERRAL,33.12,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,192.58.128.30,ROOT,NO_RESPONSE,timeout,-,N/A
2025-10-28 10:04:30,3.ubuntu.pool.ntp.org,iterative,193.0.14.129,ROOT,REFERRAL,51.35,-,N/A
