timestamp,client,domain,result_ip,total_time_ms
2025-10-28 07:07:30,10.0.0.1,google.com,142.250.192.110,335.31
2025-10-28 07:08:50,10.0.0.254,main.vscode-cdn.net,FAIL,21473.64
2025-10-28 07:09:11,10.0.0.254,mobile.events.data.microsoft.com,FAIL,21236.78
2025-10-28 07:09:21,10.0.0.254,metadata.google.internal,FAIL,10400.73
2025-10-28 07:09:32,10.0.0.254,metadata.google.internal,FAIL,10402.71
2025-10-28 07:09:53,10.0.0.254,main.vscode-cdn.net,FAIL,21303.14
2025-10-28 07:10:14,10.0.0.254,mobile.events.data.microsoft.com,FAIL,21389.07
2025-10-28 07:10:25,10.0.0.254,metadata.google.internal,FAIL,10344.31
2025-10-28 07:10:35,10.0.0.254,metadata.google.internal,FAIL,10389.02
2025-10-28 07:10:56,10.0.0.254,default.exp-tas.com,FAIL,21222.33
2025-10-28 07:11:18,10.0.0.254,default.exp-tas.com,FAIL,21184.76
2025-10-28 07:11:39,10.0.0.254,default.exp-tas.com,FAIL,21177.70
2025-10-28 07:12:00,10.0.0.254,default.exp-tas.com,FAIL,21206.64
2025-10-28 07:12:21,10.0.0.254,mobile.events.data.microsoft.com,FAIL,21155.29
2025-10-28 07:12:42,10.0.0.254,mobile.events.data.microsoft.com,FAIL,21259.97
2025-10-28 07:13:03,10.0.0.254,default.exp-tas.com,FAIL,21180.08
2025-10-28 07:13:25,10.0.0.254,default.exp-tas.com,FAIL,21243.99
2025-10-28 07:13:46,10.0.0.254,default.exp-tas.com,FAIL,21165.43
2025-10-28 07:14:10,10.0.0.254,default.exp-tas.com,FAIL,24209.60
2025-10-28 07:14:32,10.0.0.254,default.exp-tas.com,FAIL,21526.63
2025-10-28 07:14:53,10.0.0.254,default.exp-tas.com,FAIL,21102.35
