timestamp,client,domain,result_ip,total_time_ms
2025-10-28 11:22:29,10.0.0.1,amorefieldlife.com,162.241.226.124,422.25
2025-10-28 11:22:29,10.0.0.1,sheltercoveinn.com,FAIL,22841.83
2025-10-28 11:22:52,10.0.0.1,wrestlingfanssuck.com,62.149.128.40,525.57
2025-10-28 11:22:53,10.0.0.1,sdccdonline.net,FAIL,27228.34
2025-10-28 11:23:20,10.0.0.1,autofirenze.biz,89.46.109.17,1556.21
2025-10-28 11:23:21,10.0.0.1,house-sg.com,208.98.40.215,1873.38
2025-10-28 11:23:23,10.0.0.1,camcard.com,184.169.209.203,438.66
2025-10-28 11:23:24,10.0.0.1,ppsuika.ac.id,203.175.8.54,1083.36
2025-10-28 11:23:25,10.0.0.1,healthnews4you.com,3.33.130.190,552.12
2025-10-28 11:23:25,10.0.0.1,stunninggirls.net,34.95.33.229,349.29
2025-10-28 11:23:26,10.0.0.1,kathihill.com,159.65.187.116,511.62
2025-10-28 11:23:26,10.0.0.1,linksplash.info,FAIL,10881.31
2025-10-28 11:23:37,10.0.0.1,group14eng.com,192.124.249.164,521.27
2025-10-28 11:23:38,10.0.0.1,shqqaa.com,172.67.134.61,362.12
2025-10-28 11:23:38,10.0.0.1,mesites.co.za,41.204.200.130,1861.04
2025-10-28 11:23:40,10.0.0.1,progettogiovani.pd.it,185.213.115.40,519.06
2025-10-28 11:23:40,10.0.0.1,uahoy.net,FAIL,20999.44
2025-10-28 11:24:01,10.0.0.1,retiragroup.com,FAIL,21021.48
2025-10-28 11:24:22,10.0.0.1,effexdjs.com,FAIL,21058.90
2025-10-28 11:24:43,10.0.0.1,mysearch-online.com,FAIL,20986.83
2025-10-28 11:25:04,10.0.0.1,asadventure.com,143.204.55.60,360.96
2025-10-28 11:25:05,10.0.0.1,michiganbulb.com,208.27.142.168,647.77
2025-10-28 11:25:05,10.0.0.1,shivalikprints.com,162.215.11.92,354.26
