Host,Total Queries,Success,Failed,Avg Latency (ms),Throughput (qps)
H1,100,0,100,0.06547927856445312,14374.885187470012
H2,100,0,100,0.033202171325683594,27771.330199298154
H3,100,0,100,0.029354095458984375,31237.83421464214
H4,100,0,100,0.02761363983154297,33214.31738992715
