Domain,Status,Latency (ms)
gustissimo.it,SUCCESS,72.21
auto-klad.ru,SUCCESS,76.91
iointegrators.com,SUCCESS,161.97
daytimeghosthunter.com,FAIL - [Errno -2] Name or service not known,77.1
sapendolo.it,FAIL - [Errno -3] Temporary failure in name resolution,160.83
saharaimport.com,SUCCESS,74.23
ngoanhien.com,FAIL - [Errno -2] Name or service not known,76.02
itgeorgia.co,SUCCESS,71.18
myfantasticpark.es,SUCCESS,331.9
vinayaprabha.com,SUCCESS,70.19
sitiweb.us,SUCCESS,72.18
contentremarketing.com,SUCCESS,330.34
videofun.me,FAIL - [Errno -5] No address associated with hostname,71.39
breezelaw.com,SUCCESS,70.14
ranocchi.it,SUCCESS,302.88
22hotmail.com,SUCCESS,74.07
ana-sofia.pt,SUCCESS,70.67
abhair.com,SUCCESS,74.38
tripladoppia.com,FAIL - [Errno -2] Name or service not known,78.76
gardeninginflorida.com,SUCCESS,138.31
thepropertyvault.co.uk,SUCCESS,132.48
viahttps.com,SUCCESS,74.93
adverman.com,SUCCESS,72.92
majorleaguelacrosse.com,SUCCESS,85.98
rubenquinones.com,SUCCESS,75.95
kanoon-ansar.org,SUCCESS,73.25
arrabonet.hu,SUCCESS,456.78
wordai.com,SUCCESS,74.44
muhammedmusa.com,FAIL - [Errno -2] Name or service not known,77.98
freepornvideosx.com,FAIL - [Errno -2] Name or service not known,78.82
120shenbing.com,FAIL - [Errno -2] Name or service not known,77.72
onetoshop.nl,SUCCESS,76.58
meditekyazilim.net,SUCCESS,71.56
theexoticpersian.com,FAIL - [Errno -2] Name or service not known,75.86
boh10suphanburi.com,FAIL - [Errno -2] Name or service not known,134.08
overseasmedical.com,SUCCESS,72.03
grandcanyongrandhotel.com,SUCCESS,77.08
boneshoppe.com,FAIL - [Errno -2] Name or service not known,88.28
sweathelp.org,SUCCESS,72.88
c0.pl,SUCCESS,69.68
sipflash.com,FAIL - [Errno -5] No address associated with hostname,71.42
koopsmodellbau.de,SUCCESS,72.83
lespetiteschoses.com,SUCCESS,72.57
b2b2c.ca,SUCCESS,646.2
pilsnerurquell.com,SUCCESS,75.12
medintime.ru,SUCCESS,80.23
njafe.org,SUCCESS,73.04
djbarryblends.com,SUCCESS,72.54
deine-bahn.de,SUCCESS,73.54
hackthissite.org,SUCCESS,74.14
ereadz.com,FAIL - [Errno -2] Name or service not known,134.06
gurukulonline.com,SUCCESS,71.49
sf-notifications.com,FAIL - [Errno -5] No address associated with hostname,72.82
capequilog.com,SUCCESS,75.59
greens.my,SUCCESS,77.09
2xfzy.com,SUCCESS,472.77
magic-illusion.ru,SUCCESS,83.63
irflashgame.com,FAIL - [Errno -2] Name or service not known,74.03
solcredito.es,SUCCESS,72.13
go2jump.com,SUCCESS,72.41
millionfareast.com,SUCCESS,133.91
msf.be,SUCCESS,73.55
cellslider.net,SUCCESS,144.36
bhhsneproperties.com,SUCCESS,71.85
skplus.kr,FAIL - [Errno -2] Name or service not known,74.43
empclan.com,SUCCESS,312.46
carolgraykennedy.com,FAIL - [Errno -2] Name or service not known,75.19
kiyimuzik.com,SUCCESS,75.26
yunpda.com,FAIL - [Errno -2] Name or service not known,75.53
valdo.com,SUCCESS,75.76
supportpabiomass.org,SUCCESS,71.08
roche-applied-science.com,SUCCESS,73.44
oneworldinfo.com,SUCCESS,71.58
7apcrshrmanila.org,FAIL - [Errno -2] Name or service not known,304.0
ilikecrochet.com,SUCCESS,73.1
closerdiets.com,SUCCESS,79.28
myface.com,FAIL - [Errno -5] No address associated with hostname,80.7
megi.cz,SUCCESS,72.79
pces.in,SUCCESS,146.16
originalmagicart.com,SUCCESS,72.88
godo.co.kr,SUCCESS,229.06
ugotrelis.com,SUCCESS,74.47
alb-automobiles.com,FAIL - [Errno -2] Name or service not known,79.25
ok-magazine.ru,SUCCESS,460.37
wiltpr.com,FAIL - [Errno -2] Name or service not known,77.56
dmg-dental.com,SUCCESS,74.45
silkroadtours.com,SUCCESS,136.51
rositehost.com,SUCCESS,476.91
livescan4all.com,SUCCESS,73.12
oberandsons.com,SUCCESS,327.54
celerity.com,SUCCESS,75.4
miscellaneousheathen.com,SUCCESS,72.46
rolflouisville.com,SUCCESS,72.31
jacquelinemertz.ch,FAIL - [Errno -2] Name or service not known,77.47
gaplex.biz,FAIL - [Errno -2] Name or service not known,93.95
frasesdemotivacao.net,FAIL - [Errno -2] Name or service not known,76.44
divefishhouse.com,FAIL - [Errno -2] Name or service not known,134.88
stark.dk,SUCCESS,75.68
xxx-muschis.de,FAIL - [Errno -2] Name or service not known,135.09
florenseusa.com,SUCCESS,73.44
